personas,act_response,context
[User 1 persona]: ['i read three books a week.' 'i learned how to reads when i was three.'],"I've got a fear of rodents, I don't like them in general. But why do you think that mice aren't as bad?","User1: yes , i have a zoo . dog , cat , mice , chickens , and quail .
User2: that's cool . i have two dogs . i don't like mice though
User1: Mice aren't as bad as everyone thinks they are."
"[User 1 persona]: ['my parents are still married.' ""i've several children.""]","Ten years, my parents will celebrate their fifty anniversary next month. The younger generation could learn from them","User1: i'm sorry about your dog . are you married ?
User2: i'm not married but my parents are .
User1: That's nice, how long have they been married?"
[User 1 persona]: ['i like going to rock concerts.' 'i eat eggs and bacon for breakfast.'],"Bacon should be, and if you think about it, it's meat candy. It's so versatile as well. ","User1: Oh yea it lasts quite a while so that makes sense
User2: The word is derived from the Old High German ""bacho"", meaning ""buttock"", ""ham"" or ""side of bacon""
User1: Wow, I didn't know that. I think Bacon should be it's own food group."
[User 1 persona]: ['i have three children.' 'i am a teacher.'],I sadly don't have an MBA like your sister. I'm a teacher. What's your job?,"User1: My sister graduated with an MBA.
User2: that is awesome, what is she doing now?
User1: my sister also doing that' 'sales executive officer' 'from hiring"
"[User 1 persona]: ['my feet are size six women s.'
 'i want to be a journalist but instead i sell washers at sears.']",Oh that's great. What type of books do you like to read?,"User1: hi ! i don't have a favorite band but my favorite reading is twilight
User2: i love to write ! want to be journalist but have settle for selling washers at sears .
User1: I like to read, and shop at sears."
[User 1 persona]: ['i enjoy eating pumpkins.' 'i enjoy watching videos on youtube.'],Unfourtnally I can't grow anything.,"User1: just roses so i've time to swim . used to be good in college .
User2: i meant to ask what colors are you growing ? swimming is fun .
User1: I am currently trying to grow some red and white roses, they are beautiful. Do you like gardening?"
[User 1 persona]: ['my grandma raised me.' 'my favorite color is red orange.'],"Not sure, it achieved independence from the UK in 1962 I beleive","User1: OK, when did they get their independence?
User2: i'm not sure about this but i know It is the seventh-largest country by area, the second-most populous country
User1: august 15' 'ok. thanks .  i get new general knowledge from you"
[User 1 persona]: ['i am a farmer.' 'i hope to travel the world one day.'],I always cheer for them when they play against the Lakers.,"User1:  It felt good when Lebron left the Cavs for the Lakers' 'Why is that?
User2: It felt good when Lebron left the Cavs for the Lakers"
[User 1 persona]: ['i own a hearse.' 'i love to crochet.'],it is actually very simple once you learn a couple basic stitches .,"User1: Is that like knitting?  I have heard of that crochet.
User2: Yeah, it's creating fabric by interlocking loops of yarn together!
User1: im not very good at it though.' 'Well i am still learning "
"[User 1 persona]: ['i had to drop out of college to help with my grandparents.'
 'i cannot stand salads.']",yea well i guess i need to buy a ticket if i ever plan to win,"User1: I buy a lottery ticket every day but for some reason I have not won more than $10. My luck will soon change!
User2: Well You can be hopeful. But i think you should  stop gambling
User1: Hey, you can't win if you don't play. "
[User 1 persona]: ['i like to go on walks.' 'i like to bake.'],"Hopefully with some training you can. With the way trade has been and agriculture, different regions are now able to cook with vast ingredients.","User1: i work at a bar on weekends but i am studying to be a lawyer
User2: nice . i teach second graders spanish , but i used to be a chef
User1: Oh nice, i always wanted to learn how to cook"
[User 1 persona]: ['my favorite color is blue.' 'i love the beach.'],Nice! Is the beach involved in any of your plans? Because I love the beach!,"User1: I think my brain is full.  I am ready as I can be!' 'Ready for what?
User2: Ready to take on this test and the world! Lol"
"[User 1 persona]: ['my dream job is a to become a baseball announcer.'
 'i watch south park at least once a day.']","Its a great topic because its such an awesome show, especially when drinking. ","User1: He's a pretty good character. I like him. I'm a pretty big fan of the character Randy
User2: Randy's great too, it's crazy to think it's going to have new episodes in 2019 when it debuted way back in 1997.
User1: Right, i always talk about this show with my friends when we're out drinking."
"[User 1 persona]: ['i wear cardigans because i hope it makes me look more cultured.'
 'my last name is spanish , but i tell people that its italian.']","Yeah, I think so. The members of the band changed throughout the years.","User1: What were some of the bands that played in the 60's in the UK? I'm not too familiar.
User2: Some of my favorite groups include Led Zeppelin, Black Sabbath and Deep Purple.
User1: I heard of Led Zeppelin before, and didn't someone in Black Sabbath start another band?"
[User 1 persona]: ['i have really long fingernails.' 'i own a hot pink moped.'],I don't think I could even sign up for it I'm so afraid of heights ,"User1: I'm going sky diving and kind of terrified."" 'I would be too
User2: its not normally something i would do,"
"[User 1 persona]: ['i can t get enough of lindsey stirling s music.'
 'if i were to be reincarnated , i d want to come back as a hippopotamus.']",She does celebrities make up and signs with an acoustic guitartis on Youtube,"User1: I actually do know her music.  She plays some gaming cover songs and does other cameos!
User2: Yes, I really like her choreographed performances on her Youtube channel. What type of gaming songs has she covered?
User1: I am not sure that I know who she is"
[User 1 persona]: ['i take her to the park.' 'my boyfriend is unemployed.'],Nice! Do you have any pets?,"User1: i just love to lol do you' 'yes me too . where are you from ?
User2: i'm form downtown under and im friendly"" 'i have a pet hamaster"
[User 1 persona]: ['i used to fly planes for a living.' 'i grew up in nevada.'],"Indeed it is, there are lots of pretty places here.  Looks great from high up, the nicest place to fly over!","User1: Nope ,I only visit places with tourist sites,does it have one?
User2: There's lots! We have the Mountain West and then there's a lot of nice scenery in the Southwestern regions.
User1: That sounds like it would be really pretty to visit."
[User 1 persona]: ['i like to do my nails.' 'i like to pickle eggs.'],I have only seen the first 5 minutes of the the first show. Do you like game of thrones?,"User1: I do like pickles.  When did pickling start?
User2: Not sure? But pickling unlike canning does not require the food be sterile
User1: That is true! Do you like watching Game of Thrones?"
[User 1 persona]: ['i can t eat shrimp.' 'i have long legs.'],"yes , I have two younger sisters","User1: i'm a real short person and you are wasting a lot of time
User2: i feel like dump and skeleton but just wasting my hours here .
User1: Do you have any siblings?"
[User 1 persona]: ['i have a doberman.' 'my favorite food is pizza.'],Have you seen Shawshank Redemption ?,"User1: What is his most popular book?
User2: One of his most famous novels, Rita Hayworth and Shawshank Redemption is the inspiration for the film The Shawshank Redemption which is considered one of the greatest films of all time.
User1: cool' 'yes its good' 'im looking forward seeing the new one"
[User 1 persona]: ['i got a girlfriend last month.' 'my favorite breakfast is pancakes.'],I am darn sure about one thing though. Pancakes for breakfast are my favorite,"User1: I know that much.  Are they born that way, or is it learned?
User2: In the late 19th century they were classified as having a mental illness - everyone has personal opinions about it though I guess.  I personally think it's a choice.
User1: I'm not sure about that."
"[User 1 persona]: ['once a year , i take a week off and head to florida.'
 'i work as a freelance accountant.']","Sometimes, we forget stuff. It happens. How did the anniversary go?","User1: I almost made the biggest mistake of my life and cost me the greatest thing that ever happened to me. But I sobered up and didn't do it.
User2: Oh no that doesn't sound good. What almost happened?
User1: I love running at night, so I went and almost forgot about my anniversary being the next day."
[User 1 persona]: ['i love hockey.' 'my mother looks after my grandmother.'],I respect that but being honest and just telling her how you feel is best in the long run.,"User1: My friend has this habit of getting too drunk and losing her mind on every vacation we go on. I'm thinking about canceling the one we have planned in a few weeks.
User2: You should to them before you do that
User1: i love my friends alot and i don't want any trouble"" 'its nice overall"
[User 1 persona]: ['i am a vegan.' 'i learned piano at age 6.'],Yes! I am vegan but not because of that. It is more because of my health!,"User1: Wow, I didn't know the concept of vegetarianism dates back so far.
User2: I heard that a big reason was the idea of nonviolence towards animals and tied to religious philosophies.
User1: Oh, very interesting. ' ""I'm vegan as well!"
"[User 1 persona]: ['i hope to one day be happy with myself.'
 'i enjoy dressing up to go out clubbing.']",Does she do that a lot?,"User1: I know I shouldnt have felt the way I did but man it was hard when my daughter threw a fit at the store! 
User2: What did happen in the store? Why did your daughter throw a fit?
User1: Oh she couldn't get something she wanted you know how it is."
[User 1 persona]: ['my favorite season is winter.' 'i take vitamin c when i have a cold.'],"Agreed! Hot and humid... and rainy! I like to see the seasons, especially winter! My favorite!","User1: I see, do you know the population of Florida? 
User2: I believe its the 3rd most populous state if I remember correctly.
User1: It's so hot there! I don't know how anyone could live there in the summer."
[User 1 persona]: ['i am a huge fan of jason mraz.' 'i recently moved to florida.'],My day was amazing! I got to hang out at the beach all day!,"User1: hi !' 'hi
User2: how was your day' 'thats cool"
"[User 1 persona]: ['i would like to move some place warmer.'
 'last month the farm was foreclosed so i m looking for a new job.']",I got the loan on my tractor modified after the farm was foreclosed. It helped a lot.,"User1: Yeah, my mortgage and car loan, I am really up the creek!
User2: Well in the US we have something called loan modification to help people who are having trouble making payments. Maybe that would help you. 
User1: That's interesting and could be helpful. "
[User 1 persona]: ['i like to dance with my friends.' 'i love to be run.'],"I played in college, not just for fun. Trying to get a little league started at the rec center.","User1: well , sometimes ! accept country
User2: country music is great . like to play basketball ?
User1: yes for fun' 'its tuff i wish you luck.  "
"[User 1 persona]: ['i have many homes.'
 'i try to limit how much meat i eat for health reasons.']",oh ok will try good best,"User1: Yesterday, I forgot to flush the toilet at work. The look of disgust on my co-worker's face who just walked out was priceless.
User2: Oh my goodness! I bet that was embarrassing. But it happens. 
User1: I'm going to have to do better at remembering to flush next time!"
[User 1 persona]: ['my mom is an osteopath.' 'i have one blue eye and one hazel eye.'],"oh wow! Do you want anymore, my mom wanted a ton but she's also an osteopath","User1: Do you have any children?' 'I do not yet
User2: I have two children"
[User 1 persona]: ['i like to cook.' 'when i retire i want to open a bakery.'],i hate it ! i do enjoy grilling though,"User1: ohh okay. when did people first start doing rotisserie?
User2: Its been used in medieval cuisine and early modern kitchens, so a long time
User1: That is very interesting, do you enjoy it?"
[User 1 persona]: ['i m a older woman.' 'i love helping people.'],indeed. especially dogs. it feels like that they read my mind even when I dont speak,"User1: dogs are incredibly smart . i bet they could even learn to read
User2: probably , i talk to them just like they're people
User1: I do too, they're able to sense emotion so well!"
[User 1 persona]: ['my favorite color is blue.' 'i like to draw.'],"Well, I have lost a grandparent as well, and most of the time you don't need to say anything - just be there.","User1: Last week, my partner's mom passed away. It was truly hard for her to comprehend all the mixed feelings at that moment
User2: I am so sorry to hear that.  Losing a loved one is definitely one of the hardest things in life.
User1: Yeah, I haven't lost a parent yet, so I don't know what to do or say to her."
"[User 1 persona]: ['i like tailgate parties.' ""i've never been on an airplane.""]",its extremely fun!,"User1: ohh, that's what it is. that sounds like fun. how can you grill on the back of your car?!
User2: Its where you bring a portable grill and lay it on your tailgate, usually on a truck, But most people I know do it even if their vehicles dont have tailgates.
User1: That sounds like a ton of fun to have with friends!"
[User 1 persona]: ['my favorite band is a fine frenzy.' 'i love animals.'],That would be a lot of fun - sports are a great way to meet new friends.,"User1: I've been going to a new school for weeks and still don't know anyone. I always eat my lunch by myself.
User2: It's not good to be stuck alone. I'm sure you can make friends with someone there!
User1: Maybe I could invite some of my classmates to play ultimate frisbee"
"[User 1 persona]: ['my hair is black.' ""i'm a writer.""]",I seen the backstreet boys back in 93! Good times.,"User1: My friend won an award i was also going for
User2: omg that's such an amazing news! good job! what is your next goal
User1: But I didn't win it- - It was tickets to the backstreet boys"
"[User 1 persona]: ['i love tacos but hate spaghetti.'
 'i want to be a doctor when i graduate.']","PETA?  Wow, I bet.  What do you do there?  Kids would be hard enough without work.","User1: I have a son who's 8 months old! I get so nostalgic about how quickly time has passing, and it hasn't even been a year!
User2: Yeah, it's crazy how each year seems to go by faster than the last too, having kids must be surreal
User1: It is, and working for peta makes life even more difficult "
[User 1 persona]: ['i don t like trying new things.' 'i don t trust anyone.'],I try not to rely on blogs for information.' 'Indeed.,"User1: i like reading blogs you can learn a lot
User2: sometimes i like being alone so the library is perfect .
User1: I agree. I enjoy reading books, but I can't find a good blog for books."
[User 1 persona]: ['i married miss usa.' 'i have more money than i know what to do with.'],"Well for sure, but it seems important that she learn the importance of getting adults or authority figures involved.","User1: I have no idea what to do, my daughter has been complaining about bullies. I've had meetings with her teachers but the bullying hasn't stopped!
User2: That is a shame.  I hear that is happening a lot in schools today.
User1: Yes, I just wish I knew how to help. She is worried getting adults involved is going to make things harder for her."
[User 1 persona]: ['i work in a factory.' 'i am not social.'],"Great idea, that is good for the body and mind.  Being there for him alone will help - shows you care.","User1: My best friend's grandmother passed away. 
User2: Oh my, sorry to hear that. How is he holding up?
User1: Not well, I'm a yoga instructor and tried showing him some techniques to help him relax through grieving. "
"[User 1 persona]: ['i am in medical school.'
 ""i do community theater when i'm not in school.""]","I love southern rock, though it's rare to get time away from my studies... who are you seeing on sunday?","User1: sunday i am going to a concert and i cant wait
User2: So exciting, which concert?
User1: What concert are you planned to attend?"
[User 1 persona]: ['my favorite type of music is metal.' 'my parents live in kentucky.'],Yes! That is actually my favorite type of music.,"User1: I am a huge fan of them as well. Especially Led Zeppelin. Have you ever gone to any of their concerts?
User2: I wish, I'm way too young, they've been rocking since around 1968.
User1: Well that's too bad!  You missed out there - do you like any Heavy Metal Music though?"
[User 1 persona]: ['i own blue shoes.' 'i changed my hair color to blue.'],"Yeah, my mom created a strong foundation in the church for me.  We went to Sunday School and the weekly service.","User1: Me and my mom have always had a trusting relationship.
User2: That's good to hear, it's always great to have a good relationship with your parents!
User1: Yes, and by rooting yourself in the Bible, You can have a strong family bond! "
[User 1 persona]: ['i live alone in a cabin.' 'i like to go fishing on the lake.'],That sounds like a pain. What embassy? ,"User1: My husband threw away a very important document yesterday and I was so mad at himk.
User2: Oh no! what was it and what will you do?
User1: I have to travel all the way back to the embassy and apply for its replacement, but anyway, "
"[User 1 persona]: ['i graduated high school in 1986.'
 'i hope to become a music teacher after retirement.']",That's awesome! I would like to become a music teacher. Maybe after retirement.,"User1: that would be great ! tired of working in the family business .
User2: speaking of family , i have a son , he's 10 .
User1: I used to work food service"
"[User 1 persona]: ['before i die , i want to skydive.' ""i've a pet snake.""]","Yeah, well, like they say - those who can't do - teach.  I wanted to work in Finance - I may try again.","User1: That's excellent! What exactly interests you about financial planning?
User2: I used to teach, so the idea of teaching individual money management skills is very appealing.
User1: As someone who works in finance,  I can tell you we need those skilled employees! "
"[User 1 persona]: [""i'm an old woman who lives on a social security check.""
 'my favorite color is yellow.']","thats fair i also like coldplay as well as Radiohead, good english bands. And Korea Bands.","User1: I did know that.  Even more interesting is in it's meaning.  Yellow stands for happiness, positivity, energy, optimism, enlightenment, and intellect.
User2: Yes it does, I even liked it in a song, cold play has a song called yellow. Good thing is that the color has a dominant wavelength of roughly 570590 nm
User1: Yeah, I always liked the Coldplay song Yellow.  Wasn't a huge fan of the rest of their music though."
[User 1 persona]: ['i regularly go to the gym.' 'my favorite meal is chicken and rice.'],Hi I'm Ray. I am a physical fitness enthusiast. I believe eating healthy and exercising is a important.,"User1: not good . i'm trying to lose weight and i'm having trouble doing it .
User2: i'm ray i just got back from the gym , i go on a regular basis
User1: I would like to start going to the gym to help me lose some weight, but it's hard to get motivated? Any suggestions? "
[User 1 persona]: ['i have blonde hair.' 'my favorite class is painting.'],What class was it?  I just hope it wasn't important to his program of study...,"User1: A friend of mine spent all night partying instead of staying home to study. He ended up failing an important exam!
User2: That is no good.  I bet he regrets it!
User1: Yes, he did felt bad about failing the exam."
[User 1 persona]: ['i only listen to opera.' 'i get up at 4am everyday.'],My that's awful.  Tragic infact.  Does that happen regularly in her career?,"User1: it is hard for' 'yeah i bet that sounds true
User2: Yeah, my mother works as a nurse and she recently had a patient die on her - she is struggling."
[User 1 persona]: ['i went to new york city once.' 'i want to be a museum curator.'],I went to New York recently to explore my interest in becoming a museum curator.,"User1: It does. It has quite an impressive collection of old master paintings, I believe, among other things.
User2: He started collecting art as soon as he made his fortune, smart
User1: Yes! Art is always a smart investment, especially since it brings so much joy! Like two for one!"
"[User 1 persona]: [""i've a dog named bob."" 'i live on an island.']",I like anything about dogs or islands. you?,"User1: I have learnt a lot about it but i have never used it before. Is every movie available on it?
User2: Netflix contains many movies, however they do not contain every movie. They expand their capacity from time to time however.
User1: What movies do you watch on Netflix?' 'I would like a Cockapoo"
"[User 1 persona]: [""i'm a gym rat that loves to play racquetball.""
 'my favorite book that i ve read lately is middlesex.']",My good old times are the gym for an intense game of raquetball. I joined the team and play any chance I get.,"User1: Wow thats quite a few. Thats cool.
User2: It's so good. It won a Pulitzer Prize
User1: good old times :)' 'Ever played it professionally? "
"[User 1 persona]: ['my favorite activity is fishing.'
 'i once ran the mile in under 4 minutes.']",Why was the dog chasing you?  ,"User1: When I was a kid, I got chased down the street by the neighbor's dog.  She was literally nipping at my heels.
User2: i used to get chased by dogs too , back then when i was younger fences were not to common
User1: I have a ton of friends, and growing up we used to play in the neighborhood when a dog chased me. "
[User 1 persona]: ['i work as a librarian.' 'my weekends are filled with bird watching.'],"Oh, poor you! But once they become full adults things will be easier!","User1: I'm excited for school to start and for the kids to get out of my hair for at least some of the day!
User2: lol! I bet, how old are they?
User1: They are 14 and 12, I hate cleaning so this should make my life a little easier! "
"[User 1 persona]: [""i've brown hair."" 'i like to read.']","That's awesome, I'm more of a book guy. Music is my second love. Reading comes first. But I do love a good tune. ","User1: hi i just got finished listening to an extraordinary band marduk
User2: sounds fun ! what other music do you like ?
User1: I'm getting into a lot of Swedish bands now that I live here."
[User 1 persona]: ['i enjoy eating vegetarian food.' 'i listen to classic rock.'],That is awesome! Such a great sport for young ladies!,"User1: my daughet made the volleyball team
User2: That's great!  Congrats to her!  I bet she worked hard.
User1: She really is talented and I'm proud of her effort."
[User 1 persona]: ['i prefer the simpler times.' 'some jokes go too far.'],Aeri was actualy a sub brand of American Eagle outfiters lingerie retailer .,"User1: Oh wow, that's really cool that they are based on the east Coast instead of West. 
User2: America Eagle was still remains as the Aeri's partner company.
User1: Who or what is Aeri?  I love the American Eagle, though!"
[User 1 persona]: ['my family means the world to me.' 'my left knee is filled with metal.'],Children really give us the opportunity to see they world in a new light. You are so blessed!,"User1: Yes, he's been getting speech therapy since he was 2.
User2: Great, speech or voice therapy is used to improve or modify the human voice. I am sure with time he can overcome his mild alalia.
User1: Hi! I am Mary. I have two children. My oldest son has autism. He is 7 years old and is the light of our life. "
[User 1 persona]: ['i want to be a music teacher.' 'my favorite color is red orange.'],It takes time to adapt to a new city. Get involved in some groups to meet like minded people.,"User1: So I just moved to a new city and havent really made any friends here yet. Im really missing my friends and family back home.
User2: Do you like your new city?
User1: It's too early. I miss my old place."
[User 1 persona]: ['favorite band is red hot chilli peppers.' 'i love dark clothes.'],I understand. Sometimes I fix also myself my car to save some money.,"User1: My car stop working last week. I took it to the mechanic. It need a lot of money to fix it.
User2: Oh no! Hopefully you're able to get it all fixed up so you can use it again.
User1: I'll have to. I can't haul vegetables from my garden without it! "
"[User 1 persona]: [""i've never been on an airplane.""
 'my favorite season is duck hunting season.']",It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.,"User1: I miss my dad. This was his favorite time of the year
User2: yea that can be hard when things remind you of people
User1: It's hard when you're in college, especially when breaks/ holidays come. "
[User 1 persona]: ['i love cars.' 'i am a morning person.'],I'm so sorry for your loss.  Losing a parent is a hard thing to go through. ,"User1: I love to drive as well, but not in big cities. I worry too much about wrecking!
User2: Yes; I know exactly what you mean.  City driving can be quite scary.  The vast number of cars really didn't begin until the 20th century though.  In 1908, Henry Ford began the assembly line production which resulted in the mass production of the Model T.  Since then, cars have been everywhere, especially in large cities.
User1: Yes.I was in Chicago last week for a funeral (my dad died) and it's horrible to drive there."
"[User 1 persona]: ['i have 2 beagles named chance and boomer.'
 'my girlfriend lives in salt lake city.']",I hope you find one soon. For me I would take the oppurtunity to spend time with my begals Chance and Boomer. Work takes so much time from them.,"User1: I was mad when I got fired last year. I did nothing wrong
User2: I feel sorry for you. Did you get another job?
User1: Not yet... no new job yet"
[User 1 persona]: ['i love rock music.' 'i like ice cream.'],"I do too! Collard Greens and black eye'd peas, with a bit of corn bread. Yes please!","User1: I love Rock music also. Do you know what influenced that genre?
User2: has its roots in 1940s and 1950s rock and roll, a style which drew heavily on the African-American genres of blues and rhythm
User1: I love cooking soul food' 'I like making pizza with a cornbread crust!"
"[User 1 persona]: ['i sew my own clothes.' ""i've long curly hair.""]",Smores are good. Love them around a campfire. I have long curly hair so I have to be careful though. ,"User1: that's great . i love nature but one time i started a fire in a forest
User2: oh , that stinks . what is your favorite food ?
User1: smores!' 'I have long hair also, so i know the challenges"
[User 1 persona]: ['my dogs name is toto.' 'my grandma is from denmark.'],"Yes, and I also enjoyed the band Toto, which had a few hit songs.","User1: oh ? what kind of song and are you from africa ?
User2: you know that song i saw the rain down from africaaaa
User1: Toto.  Always one of my favorite songs in high school."
[User 1 persona]: ['my favorite animal is the koala.' 'i work part time.'],Me too! I meet a lot of cool strangers ta my part time job at the zoo,"User1: my favorite is the money
User2: nice . well , next party we will have to invite you since you like them .
User1: Yeah! That sounds great! I love talking to strangers and getting to know new stories."
"[User 1 persona]: [""i've two pitt bulls."" 'i work as a computer programmer.']","i do love traveling ! i have been over most of america , and also mexico","User1: that is very cool were you in the facebook movie ?
User2: yes i was the popular actress
User1: I bet that was amazing, especially with how it was filmed in so many places. I love to travel!"
[User 1 persona]: ['i like anime shows.' 'i am a meat eater.'],Never been but any beach is beautiful in my eyes. ,"User1: One more month and I get to go on a vacation to the beach! Its been 5 years so I'm chomping at the bit! Yay!
User2: Excellent! Which beach?
User1: Anna Maria Island!  It's so beautiful there.  Not a lot of people know about it. "
"[User 1 persona]: [""i'm very good at math and science."" 'i love computers.']",I'm so lonely here with my computer.,"User1: honestly i am not too into that ! i prefer listening to my fave justin bieber
User2: aw kids , 1 day i will have some . not ready .
User1: You should definitely wait till you are.  My two boys are a handfull.  But they are also the greatest reward."
[User 1 persona]: ['i like playing video games.' 'welding is my career field.'],"You should, it is amazing, I play so often, the novelty of having console games anywhere does not wear off, trust me!","User1: Cool, so it isn't just a console?
User2: yea xbox is a video game console that microsoft created
User1: I have never used xbox, but would to try it.  "
"[User 1 persona]: ['i hate cleaning up after my husband and children.'
 'i cannot choose between lollipops and rainbows.']",Thank you for having me clean it up by myself.  ,"User1: hip hop tonite . punk on saturday !
User2: i have to hurry and clean up this mess if we are going to go out .
User1: ok, i'm going to help you by going outside and running so i won't be in the way"
[User 1 persona]: ['i don t like music.' 'i have lots of friends.'],"Lots of work to do these days, how about you?","User1: I think my life is pretty good right now.' 'thats good
User2: what's new in your life?"
[User 1 persona]: ['i work part time.' 'i live with a roommate.'],Well you have to make allowances for age.  You'll be there someday.  My roommate is getting up there.,"User1: i'm a good person like working with the senior
User2: oh . you sound like a friendly guy . old people get on my nerves though
User1: i know. they're always curling in the squat rack"
"[User 1 persona]: [""i've six older sisters."" 'i love chocolate.']","Dark chocolate is my favorite, but as a kid I preferred milk chocolate.  What type of chocolate do you like most now?","User1: my real passion is drawing tho
User2: art is cool . . . my passion is chocolate lol
User1: As a kid I loved dark chocolate "
[User 1 persona]: ['i also love orange juice.' 'i am 10 years old.'],Where did you move to after the hurricane?,"User1: i'm . were your family able to evacuate florida when hurricane irma came ?
User2: we are staying with grandma . she lets me watch cartoons .
User1: I'm settling in nicely to my new place"
"[User 1 persona]: ['i kayak at the lake on weekends.'
 'i make friends fast and say goodbye fast.']",that does soun tasy!  My husband likes banana cream pie ice cream. ,"User1: You ever had strawberry shortcake ice cream?' 'Like the creamsicles?
User2: No, it's not creamsicles, but that is good too! It is vanilla ice cream with yellow cake and strawberries mixed in!"
"[User 1 persona]: [""i'm witty."" 'i read tons of books.']",Yes they can catch that pretty easily now.  I never had much problem with that.  I read all the time,"User1: I used the internet to help me write a paper once because I didn't read the literature. It was flagged for plagiarism.
User2: Oh my...You have to be careful when you use the internet for school assignments.
User1: I work at a school...there is software teachers use to check for plagiarism. Be careful!"
[User 1 persona]: ['i listen to a lot of strange music.' 'i wish i could live in iceland.'],"Yes, everywhere outside the main towns is an open hiking trail","User1: That is such a varied place, how big is the country? it must have everything there, so many different weather phenomenons
User2: Only the capital, Reykjavik and surrounding areas are really populated. It seems like you'd have to visit there for all your traveling needs. 
User1: Must be a beautiful place. Any good places to walk on a sunny day?"
[User 1 persona]: ['i m in a rock band.' 'my favorite color is orange.'],"Listened to too much Peter, Paul and Mary growing up? ","User1: I wish my mother never left as a kid.' 'Why did she leave?
User2: because i had dreams of flying airplanes "
[User 1 persona]: ['i enjoy dating women.' 'i like cooking healthy meals.'],I actually have gotten very used to no meat. I've found a lot of great substitutes that are nearly as satisfying. The health benefits outweigh the sacrifice.,"User1: I do too!  I try to eat as healthily as possible.  What kind of meals do you like to cook?
User2: I am vegan so I have to get some B12 to replace my vitamins. I make salads and  smoothies
User1: I have tried a vegan diet but I missed meat too much"
"[User 1 persona]: ['i like drinking expensive wine.'
 ""i'm unemployed and living off a trust fund.""]","I do. They are both toddlers, 3 and 4.' 'One day you will.","User1: i would have to agree that is great' 'do you have any kids ?
User2: No, I do not.  Do you?"
[User 1 persona]: ['i enjoy reading.' 'i have two smartphones.'],yes i love country music!' 'I love luke bryan,"User1: that sounds fun ! we can listen to country music !
User2: i mean . i guess if that's what you want to do
User1: do you not want to listen to it? do you like country music?"
"[User 1 persona]: [""i'm a college drop out."" 'i like to go fishing.']",that's about it. what hobbies do you have?,"User1: When was it first discovered?
User2: Well it's a pretty popular fish.  They're called black bass, and distributed throughout a large area east of the rocky mountains, all the way from Hudson bay in Canada to Mexico.  That makes it hard to say when they were first discovered.
User1: nice, what else do you know about them?"
[User 1 persona]: ['i live alone.' 'i work on cars for a living.'],It makes me realize how lucky we really are. I donated to the red cross but still wish I did more.,"User1: What the hurricane did the Caribbean last year made me sad.
User2: It was a very devastating storm.
User1: What happened to those poor people puts my problems in perspective."
[User 1 persona]: ['i like candy and soda.' 'i weight 300 pounds.'],not all weddings are the same . what kind of cake ?,"User1: I always wonder if people actually ate the wedding cake
User2: Well traditionally they were made to bring good luck to all those who attended the wedding, so I assume you were supposed to eat it originally.
User1: I mean i will always eat cake when i get the chance"
"[User 1 persona]: ['i work as a public affairs liaison.'
 'i love cold , wintry weather and snow.']",I like it well enough. what do you do?,"User1: No! I sure haven't! What the public affairs industry?
User2: Ok, it is the building and development of relations between an organization and politicians, governments and other decision-makers.
User1: Sounds like a cool job.  Do you like it?"
[User 1 persona]: ['i work as a lifeguard.' 'i love the chainsmokers.'],You should listen to some music. I always listen to the chainsmokers to cheer up. ,"User1: I was sad when I didnt earn the promotion.
User2: I'm sorry to hear that, maybe you'll get the next one!
User1: thank you I appreciate the support!"
[User 1 persona]: ['i am a girl who loves sports cars and video games.' 'i like swimming.'],"I really like classic games a lot like zelda, mario, sonic, spyro etc","User1: ya!!!what type of online games do you like?
User2: The design of online games can range from simple environments to complex graphics and virtual worlds, and thus i enjoy playing MMROPG'S such as Black Desert Online and AION as well as World Of Warcraft
User1: i like fortnite' 'its a me mario!' 'sombody toucha ma spaghet"
[User 1 persona]: ['my eyes are green.' 'i wear glasses that are cateye.'],It's not so popular here in the UK but the game is getting more support year to year.,"User1: Oh I know, it's huge over here!
User2: It ranks among the most popular out of all high school sports in the US and Canada
User1: I enjoy watching my son play, he is a wide-receiver on the team"
"[User 1 persona]: ['i have been working the same job for two years.'
 'i like to play video games.']",i used to play on desktop but haven't in ages,"User1: Oh, my husband has a PS4!  What kind of games do you like?
User2: I love the PlayStation 4, Xbox One and Nintendo Wii U) and video games on desktop and laptop computers 
User1: I play on a desktop computer. Love it."
[User 1 persona]: ['i like cartoons.' 'i still live at home.'],How was that?' 'awesome - Those nights are the best,"User1: Man I went to the bar last weekend' 'What happened there?
User2: I got wasted' 'it was a lot of fun' ""i don't remember a lot of it"
[User 1 persona]: ['i love to read books.' 'i never learned how to drive.'],well I'm glad he didn't catch up to you. Who knows what would have happened,"User1: A man followed me as I was walking home last night. I walked really fast to avoid him catching up with me.
User2: That is really scary. Did he ever catch up with you?
User1: No because I was close to my building so just walked in really quick, it was too much!"
"[User 1 persona]: ['i love going to the gym.' ""i've three pets.""]",i hear some horrible stories that people do to their partners. it's awful,"User1: My husband and I have been married for 7 years and I've been faithful the whole tie.
User2: That great news.  I don't know how rare it is but in the 14 years I've been married we've seen a lot of other couples suffer with infidelity.
User1: Yeah. Infidelity is a huge problem in this city."
